留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3
失業率低代表鮑爾可以毫無顧忌的升息,,,,,,
歷史上FED都是壓通膨勝於經濟衰退  衰退大不了再寬鬆,,,,,,
感覺升息撐不到年底 明年初就有可能降息,,,,,,
股版還有人就是利空,,,,,,
不愧是智障 再寬不就又通膨,,,,,,
推,,,,,,
衰退問題好處理，通膨超級難解，甚至可能丟掉美元霸權,,,,,,
上一次美國經濟死下去是被二戰救回來,,,,,,
推文ㄧ堆反指標,,,,,,
破箱底,,,,,,
呵呵，非凡分析師不也都看錯油價，有人負責嗎？,,,,,,
油價70元時 高盛是第一家出來喊100元的 他們家原物料團隊有料,,,,,,
確定是預測還是出/吃貨文,,,,,,
夏季才剛開始而已 你等秋天再來發文好嗎,,,,,,
你各位太早舒服了,,,,,,
你確定他不會開衝？,,,,,,
人家說夏季 現在才6月,,,,,,
你知道他2020年時預測只有40多嗎？,,,,,,
他們這些機構跟鄉民沒啥差別 見漲喊漲見崩喊跌,,,,,,
你把元大放哪裡,,,,,,
高盛準過？,,,,,,
華爾街也是人不是神 油價主要看三個人 川普 普丁 薩爾曼,,,,,,
在這三人面前高盛根本不是個咖,,,,,,
高盛反買，別墅靠海,,,,,,
高盛出了名的韭菜絞肉機好噗,,,,,,
https://www.youtube.com/watch?v=PWibXMZljsE,,,,,,
油價連生產者都估不準的,,,,,,
介紹一本書「高盛陰謀」，他們團隊真的有料,,,,,,
對了，是割韭菜的部分很有料,,,,,,
巴菲特不是在抄底了?,,,,,,
高盛其他不敢講，原物料他們看很準，不要不信,,,,,,
高盛從負油價的時候就一路喊多,,,,,,
你找到對做聖杯,,,,,,
當初跟著買的都已經薛翻了 他們真的有料,,,,,,
就算油價目前回測 高盛依然不更改目標價,,,,,,
人家是用真本事在市場玩 你只看短線買,,,,,,
高盛分析師座位上擺了一顆西瓜，你不知道?,,,,,,
短進短出 在原物料市場通常只能當韭菜,,,,,,
讓子彈飛一會 別喊太快了,,,,,,
真韭菜是跟著花旗買的那些人吧,,,,,,
油價漲到120鎂之前 每天喊空 結果才開始認錯 要喊多油價就開始修正,,,,,,
真的是多空雙巴,,,,,,
自己查08年高盛喊200後發生什麼事 呵呵,,,,,,
分析師預估打8折還可以啦,,,,,,
你去了解一下高盛的手法,,,,,,
免費仔能看到的報告還嫌這麼多…,,,,,,
夏季還沒結束啊,,,,,,
而且你怎麼知道他是不是壓低吃貨 吃得正開心,,,,,,
高盛自己就是炒家吧，當初2008軋空油商就他們啊,,,,,,
讓子彈飛一會兒,,,,,,
