stock_no,stock_name,business_scope,competitor
1101,台泥,台泥是做什麼的？台泥主要經營有關水泥及水泥製品之生產及運銷有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷經營有關水泥工業及其附屬事業,"台泥主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1102': '亞泥', '1103': '嘉泥', '1104': '環泥', '1108': '幸福', '1109': '信大', '1110': '東泥', '1113': '永康', '8463': '潤泰材'}"
1102,亞泥,"亞泥是做什麼的？亞泥主要經營水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷其他未述及之項目請參照本公司營業執照之所營事業","亞泥主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1101': '台泥', '1103': '嘉泥', '1104': '環泥', '1108': '幸福', '1109': '信大', '1110': '東泥', '1113': '永康', '8463': '潤泰材'}"
1103,嘉泥,嘉泥是做什麼的？嘉泥主要經營水泥、生產、銷售,"嘉泥主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1101': '台泥', '1102': '亞泥', '1104': '環泥', '1108': '幸福', '1109': '信大', '1110': '東泥', '1113': '永康', '8463': '潤泰材'}"
1104,環泥,環泥是做什麼的？環泥主要經營水泥及預拌混凝土之製造與銷售。石膏板之生產、加工及銷售與進、出口、代理銷售。其餘請參考本公司登記營業項目。,"環泥主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1101': '台泥', '1102': '亞泥', '1103': '嘉泥', '1108': '幸福', '1109': '信大', '1110': '東泥', '1113': '永康', '8463': '潤泰材'}"
1108,幸福,幸福是做什麼的？幸福主要經營有關水泥及水泥製品之工業及相關事業,"幸福主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1101': '台泥', '1102': '亞泥', '1103': '嘉泥', '1104': '環泥', '1109': '信大', '1110': '東泥', '1113': '永康', '8463': '潤泰材'}"
1109,信大,信大是做什麼的？信大主要經營有關水泥及水泥製品之生產及運銷,"信大主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1101': '台泥', '1102': '亞泥', '1103': '嘉泥', '1104': '環泥', '1108': '幸福', '1110': '東泥', '1113': '永康', '8463': '潤泰材'}"
1110,東泥,東泥是做什麼的？東泥主要經營(1)水泥製造與買賣(2)石灰石之開採及銷售(3)水泥加工製品及預拌混凝土之製造及銷售(4)廠房及大樓出租業(5)廢棄物處理業,"東泥主要經營業務為水泥製造，競爭對手為同樣從事水泥製造的下列幾家公司：{'1101': '台泥', '1102': '亞泥', '1103': '嘉泥', '1104': '環泥', '1108': '幸福', '1109': '信大', '1113': '永康', '8463': '潤泰材'}"
1201,味全,味全是做什麼的？味全主要經營食品製造及販賣,"味全主要經營業務為飲料乳品，競爭對手為同樣從事飲料乳品的下列幾家公司：{'1204': '津津', '1209': '益華', '1213': '大飲', '1216': '統一', '1221': '久津', '1234': '黑松', '1256': '鮮活果汁-KY', '3205': '佰研', '7743': '金利食安', '911606': '超級'}"
1203,味王,味王是做什麼的？味王主要經營味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務洋菸酒類及飲料之進口及經銷汽車檢驗及修理,"味王主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1208': '和信興', '1227': '佳格', '1231': '聯華食', '1233': '天仁', '1236': '宏亞', '1239': '味丹', '1258': '其祥-KY', '1264': '德麥', '1737': '臺鹽', '2733': '維格餅家'}"
1210,大成,大成是做什麼的？大成主要經營飼料大宗油脂肉品,"大成主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華', '1232': '大統益'}"
1213,大飲,大飲是做什麼的？大飲主要經營製造蘋果汽水礦泉水及各種汽水飲料等之批發經銷各國及國內有關飲料之產品副產品加工產品百貨批發,"大飲主要經營業務為飲料乳品，競爭對手為同樣從事飲料乳品的下列幾家公司：{'1201': '味全', '1204': '津津', '1209': '益華', '1216': '統一', '1221': '久津', '1234': '黑松', '1256': '鮮活果汁-KY', '3205': '佰研', '7743': '金利食安', '911606': '超級'}"
1215,卜蜂,卜蜂是做什麼的？卜蜂主要經營各種飼料生產加工配製銷售進口及買賣各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售各種肉類加工品與調理食品及蛋品生產銷售等業務,"卜蜂主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華', '1232': '大統益'}"
1216,統一,統一是做什麼的？統一主要經營食品事業、便利商店事業、流通事業包裝容器事業、食糧事業、油品事業其他(製藥事業、休閒開發事業、物流事業等),"統一主要經營業務為飲料乳品，競爭對手為同樣從事飲料乳品的下列幾家公司：{'1201': '味全', '1204': '津津', '1209': '益華', '1213': '大飲', '1221': '久津', '1234': '黑松', '1256': '鮮活果汁-KY', '3205': '佰研', '7743': '金利食安', '911606': '超級'}"
1217,愛之味,愛之味是做什麼的？愛之味主要經營食品,"愛之味主要經營業務為罐頭加工，競爭對手為同樣從事罐頭加工的下列幾家公司：{'1206': '台鳳', '1222': '源益', '1228': '臺芳', '1230': '聯成食品', '8723': '順大裕', '8724': '立大', '8905': '裕國'}"
1218,泰山,泰山是做什麼的？泰山主要經營各種食用油脂之精製及批發零售.各種清涼飲料.冷凍調理食品各種禽畜魚類飼料之加工製造及買賣,"泰山主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華', '1232': '大統益'}"
1219,福壽,福壽是做什麼的？福壽主要經營食用油脂、動物飼料、穀物食品、寵物食品、有機肥料等生產及銷售進出口國際貿易大宗穀物進口與銷售,"福壽主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華', '1232': '大統益'}"
1220,台榮,台榮是做什麼的？台榮主要經營飼料製造販賣果糖製造販賣玉米澱粉製造販賣,"台榮主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1224': '惠勝', '1225': '福懋油', '1229': '聯華', '1232': '大統益'}"
1225,福懋油,福懋油是做什麼的？福懋油主要經營麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售。家畜，家禽之養殖及肉類之加工銷售。一般進口貿易業務(許可業務除外)。,"福懋油主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1229': '聯華', '1232': '大統益'}"
1227,佳格,"佳格是做什麼的？佳格主要經營嬰兒麥粉,麥片及相關產品之生產製造食用油及滋養飲料粉之分裝,加工,銷售業務一般進出口貿易","佳格主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1203': '味王', '1208': '和信興', '1231': '聯華食', '1233': '天仁', '1236': '宏亞', '1239': '味丹', '1258': '其祥-KY', '1264': '德麥', '1737': '臺鹽', '2733': '維格餅家'}"
1229,聯華,聯華是做什麼的？聯華主要經營一般投資業,"聯華主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1232': '大統益'}"
1231,聯華食,聯華食是做什麼的？聯華食主要經營食品,"聯華食主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1203': '味王', '1208': '和信興', '1227': '佳格', '1233': '天仁', '1236': '宏亞', '1239': '味丹', '1258': '其祥-KY', '1264': '德麥', '1737': '臺鹽', '2733': '維格餅家'}"
1232,大統益,大統益是做什麼的？大統益主要經營黃豆油、粉加工，製造及銷售,"大統益主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華'}"
1233,天仁,天仁是做什麼的？天仁主要經營茶葉製造加工茶葉製品買賣茶相關製品,"天仁主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1203': '味王', '1208': '和信興', '1227': '佳格', '1231': '聯華食', '1236': '宏亞', '1239': '味丹', '1258': '其祥-KY', '1264': '德麥', '1737': '臺鹽', '2733': '維格餅家'}"
1234,黑松,"黑松是做什麼的？黑松主要經營碳酸飲料,酒類,果蔬汁,咖啡飲料,運動飲料等.","黑松主要經營業務為飲料乳品，競爭對手為同樣從事飲料乳品的下列幾家公司：{'1201': '味全', '1204': '津津', '1209': '益華', '1213': '大飲', '1216': '統一', '1221': '久津', '1256': '鮮活果汁-KY', '3205': '佰研', '7743': '金利食安', '911606': '超級'}"
1235,興泰,興泰是做什麼的？興泰主要經營飼料,"興泰主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華'}"
1236,宏亞,宏亞是做什麼的？宏亞主要經營糖果、餅乾、巧克力之製造、加工及買賣。月餅、西點、麵包糕餅等食品之製造、加工及買賣。七七巧克力、禮坊名店。,"宏亞主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1203': '味王', '1208': '和信興', '1227': '佳格', '1231': '聯華食', '1233': '天仁', '1239': '味丹', '1258': '其祥-KY', '1264': '德麥', '1737': '臺鹽', '2733': '維格餅家'}"
1240,茂生農經,"茂生農經是做什麼的？茂生農經主要經營家禽(雞鴨鵝)家畜(豬)各項飼料及其原料之製造加工買賣倉庫租金收入,豬隻合作飼養肉豬銷售,有色雞合作飼養銷售","茂生農經主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華'}"
1256,鮮活果汁-KY,鮮活果汁-KY是做什麼的？鮮活果汁-KY主要經營果汁、果粒、果粉類等產品之生產與銷售,"鮮活果汁-KY主要經營業務為飲料乳品，競爭對手為同樣從事飲料乳品的下列幾家公司：{'1201': '味全', '1204': '津津', '1209': '益華', '1213': '大飲', '1216': '統一', '1221': '久津', '1234': '黑松', '3205': '佰研', '7743': '金利食安', '911606': '超級'}"
1258,其祥-KY,其祥-KY是做什麼的？其祥-KY主要經營雞隻飼養雞隻加工處理及販賣冷凍肉品及調理食品買賣,"其祥-KY主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1203': '味王', '1208': '和信興', '1227': '佳格', '1231': '聯華食', '1233': '天仁', '1236': '宏亞', '1239': '味丹', '1264': '德麥', '1737': '臺鹽', '2733': '維格餅家'}"
1259,安心,安心是做什麼的？安心主要經營連鎖速食餐飲,"安心主要經營業務為餐飲業，競爭對手為同樣從事餐飲業的下列幾家公司：{'1268': '漢來美食', '1269': '乾杯', '2723': '美食-KY', '2726': '雅茗-KY', '2727': '王品', '2729': '瓦城', '2732': '六角', '2735': '晶宴生活創意', '2740': '天蔥', '2741': '老四川'}"
1260,富味鄉,富味鄉是做什麼的？富味鄉主要經營香麻油芝麻製品一般油品及其他,"富味鄉主要經營業務為油脂飼料，競爭對手為同樣從事油脂飼料的下列幾家公司：{'1207': '嘉食化', '1210': '大成', '1212': '中日', '1215': '卜蜂', '1218': '泰山', '1219': '福壽', '1220': '台榮', '1224': '惠勝', '1225': '福懋油', '1229': '聯華'}"
1262,綠悅-KY,綠悅-KY是做什麼的？綠悅-KY主要經營雙向拉伸尼龍薄膜(BOPA薄膜)之生產及銷售,"綠悅-KY主要經營業務為膠帶，競爭對手為同樣從事膠帶的下列幾家公司：{'1324': '地球', '1715': '萬洲', '3171': '新洲', '4306': '炎洲', '8354': '冠好'}"
1264,德麥,德麥是做什麼的？德麥主要經營專業進口烘焙原料銷售各式烘焙食品、乳製品、各式包裝材料及器具之銷售烘焙原料之預拌粉加工製造,"德麥主要經營業務為其他食品，競爭對手為同樣從事其他食品的下列幾家公司：{'1203': '味王', '1208': '和信興', '1227': '佳格', '1231': '聯華食', '1233': '天仁', '1236': '宏亞', '1239': '味丹', '1258': '其祥-KY', '1737': '臺鹽', '2733': '維格餅家'}"
1268,漢來美食,漢來美食是做什麼的？漢來美食主要經營F501060 餐館業。ZZ99999 除許可業務外，得經營法令非禁止或限制之業務。,"漢來美食主要經營業務為餐飲業，競爭對手為同樣從事餐飲業的下列幾家公司：{'1259': '安心', '1269': '乾杯', '2723': '美食-KY', '2726': '雅茗-KY', '2727': '王品', '2729': '瓦城', '2732': '六角', '2735': '晶宴生活創意', '2740': '天蔥', '2741': '老四川'}"
1269,乾杯,乾杯是做什麼的？乾杯主要經營燒肉飲食服務業,"乾杯主要經營業務為餐飲業，競爭對手為同樣從事餐飲業的下列幾家公司：{'1259': '安心', '1268': '漢來美食', '2723': '美食-KY', '2726': '雅茗-KY', '2727': '王品', '2729': '瓦城', '2732': '六角', '2735': '晶宴生活創意', '2740': '天蔥', '2741': '老四川'}"
1271,晨暉生技,晨暉生技是做什麼的？晨暉生技主要經營紅麴保健食品研發、製造及銷售益生菌保健食品研發、製造及銷售其他保健食品研發、製造及銷售,"晨暉生技主要經營業務為機能性食品，競爭對手為同樣從事機能性食品的下列幾家公司：{'1293': '利統', '1294': '漢田生技', '1295': '生合', '1707': '葡萄王', '1780': '立弘', '1796': '金穎生技', '3054': '立萬利', '3164': '景岳', '3555': '博士旺', '4109': '加捷生醫'}"
1293,利統,利統是做什麼的？利統主要經營保健食品(含原料)研發及銷售植物用保鮮劑 (乙烯阻斷劑) 研發及銷售動物、植物促長調節劑研發及銷售,"利統主要經營業務為機能性食品，競爭對手為同樣從事機能性食品的下列幾家公司：{'1271': '晨暉生技', '1294': '漢田生技', '1295': '生合', '1707': '葡萄王', '1780': '立弘', '1796': '金穎生技', '3054': '立萬利', '3164': '景岳', '3555': '博士旺', '4109': '加捷生醫'}"
