留言,公司名稱,標的號碼
我就問一句 愛之味追高被套 你敢講給別人聽嘛?,愛之味,1217
營邦怎麼一臉要跳水了XD,營邦,6015
刀碩黑手會不會拉回平盤,None,None
我的持股看起來像今天跌了百點似的......,None,None
長榮 噴出,長榮,2603
主力出金金權值跟大哥 跑去玩別的 等題材,None,None
年初買材料，直接躺著數錢,材料,4763
早知道昨天大學換兩張材料就好惹 可惜,材料,4763
阿頂能不能頂起來QQ,None,None
遠百 就說吧 融資砍 就是投信外資收走 等等平盤,遠百,2905
姨丈發瘋了,威盛,2388
融資增加一堆，是出的掉嗎,None,None
拉尾盤嗎,None,None
姨丈,威盛,2388
材料六個月從300到1089,材料,4763
廣達好廢,廣達,2382
威盛起笑,威盛,2388
賣方怎麼突然3、5千張,None,None
2344 說好的33呢,華邦電,2344
力特真的蠻哭的,力特,3679
好死魚,None,None
嘻嘻https://i.imgur.com/1jvCbNn.jpg,None,None
國泰隔日沖跟程式單賣散戶買,國泰金,2882
廣達紅潮來了 243.5!,廣達,2382
大聚陽噴一下,聚陽,1477
威盛仨小…,威盛,2388
每天都這種無量爛死魚盤,None,None
威盛沃草,威盛,2388
股市投資人真的過度自信,None,None
姨丈 好累 我休息一下,威盛,2388
黑手聽話乖乖拉尾盤收紅,None,None
科嶠還沒噴之前持有過沒耐心就出了QQ,科嶠,3523
台GG有夠慘,台積電,2330
https://i.imgur.com/0X92puf.jpg,None,None
姨丈是不是又有好消息? 發瘋==,威盛,2388
哇靠技嘉,技嘉,2376
萬七 瑞昱 帝王蟹,瑞昱,2379
小英今天這麼兇猛喔,英業達,2356
威盛瓦操,威盛,2388
https://i.imgur.com/mciCBwq.jpg,None,None
長榮這不就來了..嘻嘻,長榮,2603
材料真的兇,材料,4763
沒量可以殺國泰到46以下嗎 45以下更好,國泰金,2882
長榮在次挑戰今年高點big,長榮,2603
沒事買台積幹嘛笑死,台積電,2330
電鍋掘砂,None,None
威盛應該都有內線，有幾個內資都提前拉,威盛,2388
漢平好嗨喔，去童鞋會看好像是有詐騙集團進攻XD,漢平,2490
高端有夠鬼,高端疫苗,6547
尾盤啦 大家今天都有賺到錢錢了嗎？ @v@b,None,None
3264終於洗完了？,欣銓,3264
GG九月不是有除息行情 怎麼,台積電,2330
https://i.imgur.com/UcW1V2C.jpg,None,None
螃蟹爬阿爬,瑞昱,2379
https://i.imgur.com/BDugdzy.jpg,None,None
再給我25分鐘 就要賺到便當錢了,None,None
控盤大師,None,None
力特玩啥XD甩人嗎,力特,3679
拉尾盤了,None,None
廣達來了 大紅潮!,廣達,2382
量縮成這樣,None,None
愛普笑死XD,愛普,6531
阿姨宇宙夢都沒有一個成形,宏達電,2498
愛普這黑K,愛普,6531
緯創死守112？,緯創,3231
2X穩穩抱不好嗎 靜靜的看大家搶股票,None,None
https://i.imgur.com/3S7Eg0z.jpg,None,None
姨丈 建達全達今天都猛猛的,威盛,2388,建達,6118,全達,3147
https://i.imgur.com/tM58e9B.jpg,None,None
齁 112出大量,None,None
緯創守幾天112了,緯創,3231
這兩天被進攻的量在月K上蠻漂亮的，就看這個月能收,None,None
國泰 GG這程式賣壓 沒買盤 應該拉不到哪去,國泰金,2882,台積電,2330
GG這個量 超窒息,台積電,2330
fj想請問一下漢神是哪支,None,None
今天不一樣,None,None
多少了，還要除息,None,None
波若威笑死 拉到100可以回月線了,波若威,3163
華孚掰,華孚,6235
要噴惹啦,None,None
3715不翻黑是吧 來補一補,定穎,3715
緯穎拼股王,緯穎,6669
力特！又翻紅,力特,3679
GG只能等營收還他公道了,台積電,2330
光寶 量增 沒上MA5 是不是超爛XD?,光寶科,2301
力特今天甩尾嗎,力特,3679
台積電金融股，扛大盤跌幅,台積電,2330
1439啊...轉投資漢神百貨 爸爸送女兒練功的公司,中和,1439
力特真的有夠哭,力特,3679
幸運小恩 https://i.imgur.com/xX0mAxM.jpg,None,None
拉高再殺,None,None
廣達今天到現在才2.2W張交易量 超慘...,廣達,2382
姨丈概念股 兩個紅燈 建達全達,威盛,2388,建達,6118,全達,3147
尾盤要拉出量了,None,None
我阿姨說她今天200張929幹進去了......,None,None
死魚盤,股板還能有4500人,None,None
阿姨還缺白臉嗎,None,None
盜圖仔詐騙群組又來了喔?,None,None
墮牛寺！,None,None
GG沒動也好 中小該補漲的快漲一漲,台積電,2330
https://i.imgur.com/5Cv1ojJ.jpg,None,None
唉 認輸了 掛243.5賣 賠點手續費就好,None,None
一般人 看到這種量就沒興趣了吧...最近倒有人收籌碼,None,None
O大來買長榮或可成 價值投資很送分,長榮,2603,可成,2474
牛寺是仙人指路還是高十字星0.0？,None,None
今天持股超噴的啦 讚啦,None,None
